Timestamp,Trigger Point,Trigger Point Base,Subtraction History,Subtraction Threshold
2024-03-31 12:49:01,100,20,100,40
2024-03-31 12:50:26,100,20,100,40
2024-03-31 12:51:25,100,20,100,40
2024-03-31 12:53:23,100,20,100,40
2024-03-31 12:53:55,100,20,100,40
2024-03-31 12:57:17,100,20,100,40
2024-03-31 13:04:18,100,20,100,40
2024-03-31 13:05:04,100,20,100,40
2024-03-31 13:08:07,100,20,100,40
2024-03-31 13:11:47,100,20,100,40
2024-03-31 13:14:16,100,20,100,40
2024-03-31 13:15:00,100,20,100,40
2024-03-31 13:15:52,100,20,100,40
2024-03-31 13:16:17,100,20,100,40
2024-03-31 13:18:05,100,20,100,40
2024-03-31 13:18:45,100,20,100,40
2024-03-31 13:25:58,100,20,100,40
2024-03-31 13:26:54,100,20,100,40
2024-03-31 13:34:39,100,20,100,40
2024-03-31 13:36:36,100,20,100,40
2024-03-31 13:37:58,100,20,100,40
2024-03-31 13:39:05,100,20,100,40
2024-03-31 13:40:43,100,20,100,40
2024-03-31 13:45:29,100,20,100,40
2024-03-31 13:46:04,100,20,100,40
2024-03-31 13:47:27,100,20,100,40
2024-03-31 13:48:41,100,20,100,40
2024-03-31 13:49:09,100,20,100,40
2024-03-31 13:51:58,100,20,100,40
2024-03-31 13:57:30,100,20,100,40
2024-03-31 14:05:07,100,20,100,40
2024-03-31 14:08:55,100,20,100,40
2024-03-31 14:09:18,100,20,100,40
2024-03-31 14:10:04,100,20,100,40
2024-03-31 14:11:35,100,20,100,40
2024-03-31 14:12:06,100,20,100,40
2024-03-31 14:13:15,100,20,100,40
2024-03-31 14:13:53,100,20,100,40
2024-03-31 14:14:07,100,20,100,40
2024-03-31 14:14:30,100,20,100,40
2024-03-31 14:16:14,100,20,100,40
2024-03-31 14:25:15,100,20,100,40
2024-03-31 14:30:15,100,20,100,40
2024-03-31 14:35:12,100,20,100,40
2024-03-31 14:37:19,100,20,100,40
2024-03-31 14:40:45,100,20,100,40
2024-03-31 14:53:13,100,20,100,40
2024-03-31 14:57:44,100,20,100,40
2024-03-31 15:10:25,100,20,100,40
2024-03-31 15:10:52,100,20,100,40
2024-03-31 15:11:18,100,20,100,40
2024-03-31 15:11:34,100,20,100,40
2024-03-31 15:15:42,100,20,100,40
2024-03-31 15:15:56,100,20,100,40
2024-03-31 15:17:15,100,20,100,40
2024-03-31 15:18:48,100,20,100,40
2024-03-31 15:19:11,100,20,100,40
2024-03-31 15:19:50,100,20,100,40
2024-03-31 15:20:27,100,20,100,40
2024-03-31 15:21:26,100,20,100,40
2024-03-31 15:23:01,100,20,100,40
2024-03-31 15:23:26,100,20,100,40
2024-03-31 15:24:06,100,20,100,40
2024-03-31 15:24:33,100,20,100,40
2024-03-31 15:24:54,100,20,100,40
2024-03-31 15:25:22,100,20,100,40
2024-03-31 15:25:54,100,20,100,40
2024-03-31 15:27:47,100,20,100,40
2024-03-31 15:30:18,100,20,100,40
2024-03-31 15:30:45,100,20,100,40
2024-03-31 15:32:35,100,20,100,40
2024-03-31 15:34:32,100,20,100,40
2024-03-31 15:36:00,100,20,100,40
2024-03-31 15:37:56,100,20,100,40
2024-03-31 15:39:08,100,20,100,40
2024-03-31 15:40:00,100,20,100,40
2024-03-31 15:40:59,100,20,100,40
2024-03-31 15:42:05,100,20,100,40
2024-03-31 15:43:26,100,20,100,40
2024-03-31 15:44:34,100,20,100,40
2024-03-31 15:44:59,100,20,100,40
2024-03-31 15:46:20,100,20,100,40
2024-03-31 16:02:41,100,20,100,40
2024-03-31 16:04:19,100,20,100,40
2024-03-31 16:04:52,100,20,100,40
2024-03-31 16:06:10,100,20,100,40
2024-03-31 16:07:54,100,20,100,40
2024-03-31 16:08:10,100,20,100,40
2024-03-31 16:27:22,100,20,100,40
2024-03-31 16:31:25,100,20,100,40
2024-03-31 16:32:07,100,20,100,40
2024-03-31 16:32:15,100,20,100,40
2024-03-31 16:32:32,100,20,100,40
2024-03-31 16:33:59,100,20,100,40
2024-03-31 16:37:57,100,20,100,40
2024-03-31 16:40:52,100,20,100,40
2024-03-31 16:42:54,100,20,100,40
2024-03-31 16:45:09,100,20,100,40
2024-03-31 17:33:24,100,20,100,40
2024-03-31 17:33:39,100,20,100,40
2024-03-31 17:34:27,100,20,100,40
2024-03-31 17:35:46,100,20,100,40
2024-03-31 17:54:25,100,20,100,40
2024-03-31 17:54:37,100,20,100,40
2024-03-31 17:55:19,100,20,100,40
2024-03-31 17:56:18,100,20,100,40
2024-03-31 17:56:27,100,20,100,40
2024-03-31 18:11:16,100,20,100,40
2024-03-31 18:18:36,100,20,100,40
2024-03-31 18:25:31,100,20,100,40
2024-03-31 18:27:35,100,20,100,40
2024-04-01 07:22:27,100,20,100,40
2024-04-01 07:23:34,100,20,100,40
2024-04-01 07:24:35,100,20,100,40
2024-04-01 07:25:20,100,20,100,40
2024-04-01 07:26:59,100,20,100,40
2024-04-01 07:34:22,100,20,100,40
2024-04-01 07:36:38,100,20,100,40
2024-04-01 07:37:07,100,20,100,40
2024-04-01 08:20:20,100,20,100,40
2024-04-01 08:20:33,100,20,100,40
2024-04-01 08:21:20,100,20,100,40
2024-04-01 08:21:35,100,20,100,40
2024-04-01 08:22:00,100,20,100,40
2024-04-01 08:23:50,100,20,100,40
2024-04-01 08:35:52,100,20,100,40
2024-04-01 08:38:18,100,20,100,40
2024-04-01 08:43:10,100,20,100,40
2024-04-01 08:45:53,100,20,100,40
2024-04-01 08:54:37,100,20,100,40
2024-04-01 08:55:23,100,20,100,40
2024-04-01 09:00:28,100,20,100,40
2024-04-01 09:10:59,100,20,100,40
2024-04-01 09:11:40,100,20,100,40
2024-04-01 09:14:11,100,20,100,40
2024-04-01 09:15:38,100,20,100,40
2024-04-01 09:25:07,100,20,100,40
2024-04-01 09:25:45,100,20,100,40
2024-04-01 09:27:47,100,20,100,40
2024-04-01 09:28:45,100,20,100,40
2024-04-01 09:29:57,100,20,100,40
2024-04-01 09:30:45,100,20,100,40
2024-04-01 09:32:00,100,20,100,40
2024-04-01 09:32:45,100,20,100,40
2024-04-01 09:33:32,100,20,100,40
2024-04-01 09:35:41,100,20,100,40
2024-04-01 09:37:44,100,20,100,40
2024-04-01 09:38:54,100,20,100,40
2024-04-01 09:40:08,100,20,100,40
2024-04-01 09:40:19,100,20,100,40
2024-04-01 09:43:21,100,20,100,40
2024-04-01 09:48:46,100,20,100,40
2024-04-01 09:49:10,100,20,100,40
2024-04-01 09:50:52,100,20,100,40
2024-04-01 09:51:17,100,20,100,40
2024-04-01 09:52:36,100,20,100,40
2024-04-01 09:53:39,100,20,100,40
2024-04-01 09:54:46,100,20,100,40
2024-04-01 09:55:52,100,20,100,40
2024-04-01 09:56:29,100,20,100,40
2024-04-01 09:57:49,100,20,100,40
2024-04-01 09:58:22,100,20,100,40
2024-04-01 09:59:02,100,20,100,40
2024-04-01 10:02:06,100,20,100,40
2024-04-01 10:11:38,100,20,100,40
2024-04-01 10:12:13,100,20,100,40
2024-04-01 10:12:29,100,20,100,40
2024-04-01 10:14:01,100,20,100,40
2024-04-01 10:14:59,100,20,100,40
2024-04-01 10:16:08,100,20,100,40
2024-04-01 10:16:58,100,20,100,40
2024-04-01 10:17:53,100,20,100,40
2024-04-01 10:18:54,100,20,100,40
2024-04-01 10:20:09,100,20,100,40
2024-04-01 10:22:01,100,20,100,40
2024-04-01 10:22:53,100,20,100,40
2024-04-01 10:24:15,100,20,100,40
2024-04-01 10:25:07,100,20,100,40
2024-04-01 10:25:40,100,20,100,40
2024-04-01 10:27:15,100,20,100,40
2024-04-01 10:28:45,100,20,100,40
2024-04-01 10:29:38,100,20,100,40
2024-04-01 10:32:06,100,20,100,40
2024-04-01 10:33:08,100,20,100,40
2024-04-01 10:33:57,100,20,100,40
2024-04-01 10:34:45,100,20,100,40
2024-04-01 10:35:43,100,20,100,40
2024-04-01 10:36:25,100,20,100,40
2024-04-01 10:37:17,100,20,100,40
2024-04-01 10:38:02,100,20,100,40
2024-04-01 10:38:34,100,20,100,40
2024-04-01 10:39:14,100,20,100,40
2024-04-01 10:39:59,100,20,100,40
2024-04-01 10:40:21,100,20,100,40
2024-04-01 10:40:59,100,20,100,40
2024-04-01 10:41:29,100,20,100,40
2024-04-01 10:42:22,100,20,100,40
2024-04-01 10:43:13,100,20,100,40
2024-04-01 10:43:44,100,20,100,40
2024-04-01 10:44:15,100,20,100,40
2024-04-01 10:44:48,100,20,100,40
2024-04-01 10:45:13,100,20,100,40
2024-04-01 10:45:54,100,20,100,40
2024-04-01 10:46:43,100,20,100,40
2024-04-01 10:47:23,100,20,100,40
2024-04-01 10:49:12,100,20,100,40
2024-04-01 10:53:20,100,20,100,40
2024-04-01 10:54:40,100,20,100,40
2024-04-01 10:55:45,100,20,100,40
2024-04-01 10:56:39,100,20,100,40
2024-04-01 10:57:45,100,20,100,40
2024-04-01 11:03:35,100,20,100,40
2024-04-01 11:05:03,100,20,100,40
2024-04-01 11:06:39,100,20,100,40
2024-04-01 11:08:25,100,20,100,40
2024-04-01 11:10:08,100,20,100,40
2024-04-01 11:10:24,100,20,100,40
2024-04-01 11:10:39,100,20,100,40
2024-04-01 11:12:10,100,20,100,40
2024-04-01 11:12:59,100,20,100,40
2024-04-01 11:13:35,100,20,100,40
2024-04-01 11:14:34,100,20,100,40
2024-04-01 11:14:58,100,20,100,40
2024-04-01 11:16:08,100,20,100,40
2024-04-01 11:17:18,100,20,100,40
2024-04-01 11:18:28,100,20,100,40
2024-04-01 11:46:30,100,20,100,40
2024-04-01 11:50:17,100,20,100,40
2024-04-01 12:05:33,100,20,100,40
2024-04-01 12:47:19,100,20,100,40
2024-04-01 12:49:00,100,20,100,40
2024-04-01 12:50:34,100,20,100,40
2024-04-01 12:51:56,100,20,100,40
2024-04-01 12:53:42,100,20,100,40
2024-04-01 12:54:13,100,20,100,40
2024-04-01 13:01:31,100,20,100,40
2024-04-01 13:22:16,100,20,100,40
2024-04-01 13:22:35,100,20,100,40
2024-04-01 13:23:08,100,20,100,40
2024-04-01 13:27:04,100,20,100,40
2024-04-01 13:29:16,100,20,100,40
2024-04-01 13:31:21,100,20,100,40
2024-04-01 13:32:28,100,20,100,40
2024-04-01 13:33:24,100,20,100,40
2024-04-01 13:34:27,100,20,100,40
2024-04-01 13:35:39,100,20,100,40
2024-04-01 13:36:40,100,20,100,40
2024-04-01 13:37:44,100,20,100,40
2024-04-01 13:39:14,100,20,100,40
2024-04-01 13:40:48,100,20,100,40
2024-04-01 13:42:12,100,20,100,40
2024-04-01 13:44:11,100,20,100,40
2024-04-01 13:46:19,100,20,100,40
2024-04-01 13:47:42,100,20,100,40
2024-04-01 13:49:27,100,20,100,40
2024-04-01 13:50:41,100,20,100,40
2024-04-01 13:52:04,100,20,100,40
2024-04-01 13:52:58,100,20,100,40
2024-04-01 13:54:03,100,20,100,40
2024-04-01 13:55:15,100,20,100,40
2024-04-01 13:56:06,100,20,100,40
2024-04-01 13:58:39,100,20,100,40
2024-04-01 14:00:48,100,20,100,40
2024-04-01 14:01:50,100,20,100,40
2024-04-01 14:04:02,100,20,100,40
2024-04-01 14:05:06,100,20,100,40
2024-04-01 14:06:52,100,20,100,40
2024-04-01 14:18:16,100,20,100,40
2024-04-01 14:19:35,100,20,100,40
2024-04-01 15:23:06,100,20,100,40
2024-04-01 15:33:23,100,20,100,40
2024-04-01 15:34:38,100,20,100,40
2024-04-01 15:36:09,100,20,100,40
2024-04-01 15:37:29,100,20,100,40
2024-04-01 15:38:41,100,20,100,40
2024-04-01 15:39:01,100,20,100,40
2024-04-01 15:40:13,100,20,100,40
2024-04-01 15:41:05,100,20,100,40
2024-04-01 15:41:33,100,20,100,40
2024-04-01 15:42:58,100,20,100,40
2024-04-01 15:43:50,100,20,100,40
2024-04-01 15:44:35,100,20,100,40
2024-04-01 15:45:26,100,20,100,40
2024-04-01 15:47:29,100,20,100,40
2024-04-01 15:48:22,100,20,100,40
2024-04-01 15:49:11,100,20,100,40
2024-04-01 15:49:50,100,20,100,40
2024-04-01 15:50:27,100,20,100,40
2024-04-01 15:51:37,100,20,100,40
2024-04-01 15:52:24,100,20,100,40
2024-04-01 15:53:23,100,20,100,40
2024-04-01 15:54:25,100,20,100,40
2024-04-01 15:55:51,100,20,100,40
2024-04-01 15:57:03,100,20,100,40
2024-04-01 15:57:35,100,20,100,40
2024-04-01 15:58:43,100,20,100,40
2024-04-01 15:59:32,100,20,100,40
2024-04-01 15:59:59,100,20,100,40
2024-04-01 16:00:33,100,20,100,40
2024-04-01 16:01:40,100,20,100,40
2024-04-01 16:01:57,100,20,100,40
2024-04-01 16:02:46,100,20,100,40
2024-04-01 16:03:05,100,20,100,40
2024-04-01 16:04:15,100,20,100,40
2024-04-01 16:04:38,100,20,100,40
2024-04-01 16:05:06,100,20,100,40
2024-04-01 16:07:37,100,20,100,40
2024-04-01 16:14:46,100,20,100,40
2024-04-01 16:15:11,100,20,100,40
2024-04-01 16:17:13,100,20,100,40
2024-04-01 16:17:58,100,20,100,40
2024-04-01 16:18:57,100,20,100,40
2024-04-01 16:20:02,100,20,100,40
2024-04-01 16:20:42,100,20,100,40
2024-04-01 16:21:11,100,20,100,40
2024-04-01 16:21:36,100,20,100,40
2024-04-01 16:22:20,100,20,100,40
2024-04-01 16:23:10,100,20,100,40
2024-04-01 16:24:10,100,20,100,40
2024-04-01 16:25:19,100,20,100,40
2024-04-01 16:26:23,100,20,100,40
2024-04-01 16:27:23,100,20,100,40
2024-04-01 16:27:44,100,20,100,40
2024-04-01 16:28:15,100,20,100,40
2024-04-01 16:28:57,100,20,100,40
2024-04-01 16:30:19,100,20,100,40
2024-04-01 16:31:36,100,20,100,40
2024-04-01 16:32:11,100,20,100,40
2024-04-01 16:32:58,100,20,100,40
2024-04-01 16:34:23,100,20,100,40
2024-04-01 16:35:31,100,20,100,40
2024-04-01 16:36:31,100,20,100,40
2024-04-01 16:37:18,100,20,100,40
2024-04-01 16:38:27,100,20,100,40
2024-04-01 16:39:50,100,20,100,40
2024-04-01 16:40:42,100,20,100,40
2024-04-01 16:41:53,100,20,100,40
2024-04-01 16:52:26,100,20,100,40
2024-04-01 16:54:04,100,20,100,40
2024-04-01 16:56:36,100,20,100,40
2024-04-01 16:57:53,100,20,100,40
2024-04-01 16:58:44,100,20,100,40
2024-04-01 17:02:25,100,20,100,40
2024-04-01 17:03:54,100,20,100,40
2024-04-01 17:05:00,100,20,100,40
2024-04-01 17:06:35,100,20,100,40
2024-04-01 17:08:09,100,20,100,40
2024-04-01 17:10:57,100,20,100,40
2024-04-01 17:12:38,100,20,100,40
2024-04-01 17:13:58,100,20,100,40
2024-04-01 17:16:11,100,20,100,40
2024-04-01 17:16:20,100,20,100,40
2024-04-01 17:18:17,100,20,100,40
2024-04-01 17:19:05,100,20,100,40
2024-04-01 17:22:02,100,20,100,40
2024-04-01 17:22:47,100,20,100,40
2024-04-01 17:24:37,100,20,100,40
2024-04-01 17:26:25,100,20,100,40
2024-04-01 17:27:49,100,20,100,40
2024-04-01 17:28:08,100,20,100,40
2024-04-01 17:39:16,100,20,100,40
2024-04-01 17:43:34,100,20,100,40
2024-04-01 17:50:21,100,20,100,40
2024-04-01 17:52:42,100,20,100,40
2024-04-01 17:54:25,100,20,100,40
2024-04-01 17:54:40,100,20,100,40
2024-04-01 18:04:28,100,20,100,40
2024-04-02 08:01:18,100,20,100,40
2024-04-02 08:05:11,100,20,100,40
2024-04-02 08:05:34,100,20,100,40
2024-04-02 09:02:17,100,20,100,40
2024-04-02 09:02:32,100,20,100,40
2024-04-02 09:28:13,100,20,100,40
2024-04-02 09:28:51,100,20,100,40
2024-04-02 09:33:38,100,20,100,40
2024-04-02 09:35:18,100,20,100,40
2024-04-02 09:35:40,100,20,100,40
2024-04-02 09:40:13,100,20,100,40
2024-04-02 09:41:37,100,20,100,40
2024-04-02 09:42:04,100,20,100,40
2024-04-02 09:43:21,100,20,100,40
2024-04-02 09:44:58,100,20,100,40
2024-04-02 09:46:11,100,20,100,40
2024-04-02 09:46:51,100,20,100,40
2024-04-02 09:55:13,100,20,100,40
2024-04-02 09:58:12,100,20,100,40
2024-04-02 09:58:39,100,20,100,40
2024-04-02 09:59:54,100,20,100,40
2024-04-02 10:01:14,100,20,100,40
2024-04-02 10:02:09,100,20,100,40
2024-04-02 10:03:22,100,20,100,40
2024-04-02 10:04:34,100,20,100,40
