Timestamp,arm_freq,arm_freq_min,core_freq,core_freq_min,gpu_freq,gpu_freq_min,over_voltage_avs,over_voltage_avs_boost,sdram_freq,arm: frequency(48),core: frequency(1),h264: frequency(28),isp: frequency(45),v3d: frequency(46),core: volt,sdram_c: volt,sdram_i: volt,sdram_p: volt,temp,throttled
2024-02-18 03:48:51,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 04:04:25,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,64.5,0x0
2024-02-18 04:19:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 04:35:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 04:50:50,600002000,600,320000000,,300,,31250,0x1b774,450,600002000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-18 05:06:36,600002000,600,320000000,,300,,31250,0x1b774,450,600002000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 05:21:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 05:36:52,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 05:51:53,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 06:07:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,64.5,0x0
2024-02-18 06:23:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 06:38:52,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.1,0x0
2024-02-18 06:54:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 07:09:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 07:24:52,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 07:40:25,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 07:55:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 08:11:45,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 08:26:52,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 08:42:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 08:57:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 09:12:52,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.1,0x0
2024-02-18 09:28:25,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 09:43:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 09:58:40,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.1,0x0
2024-02-18 10:13:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 10:29:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-18 10:44:52,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.1,0x0
2024-02-18 11:00:37,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-18 11:15:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-18 11:30:48,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.7,0x0
2024-02-18 11:45:54,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.7,0x0
2024-02-18 12:01:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.1,0x0
2024-02-18 12:16:53,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.7,0x0
2024-02-18 12:32:37,600002000,600,320000000,,300,,31250,0x1b774,450,600002000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.7,0x0
2024-02-18 12:47:45,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.1,0x0
2024-02-18 13:02:52,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.7,0x0
2024-02-18 13:18:37,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-18 13:33:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,68.2,0x0
2024-02-18 13:48:52,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,69.8,0x0
2024-02-18 14:04:25,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,68.2,0x0
2024-02-18 14:19:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,68.2,0x0
2024-02-18 14:35:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.1,0x0
2024-02-18 14:50:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,68.8,0x0
2024-02-18 15:06:37,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-18 15:21:44,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.1,0x0
2024-02-18 15:36:52,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.7,0x0
2024-02-18 15:52:36,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-18 16:07:44,600002000,600,320000000,,300,,31250,0x1b774,450,600002000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.1,0x0
2024-02-18 16:23:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,67.1,0x0
2024-02-18 16:38:37,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-18 16:42:57,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-18 16:43:02,0,600,250000000,,300,,31250,0x19f0a,450,0,250000000,0,0,300000000,1.2313,1.2500,1.2500,1.2250,36.5,0x0
2024-02-18 17:03:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,50.5,0x0
2024-02-18 17:19:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,57.5,0x0
2024-02-18 17:35:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,60.7,0x0
2024-02-18 17:51:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-18 18:07:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.4,0x0
2024-02-18 18:23:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,64.5,0x0
2024-02-18 18:39:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,64.5,0x0
2024-02-18 18:55:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 19:11:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,64.5,0x0
2024-02-18 19:27:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,64.5,0x0
2024-02-18 19:43:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 19:59:17,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 20:14:28,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-18 20:29:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 20:45:12,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 21:00:14,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-18 21:15:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 21:31:47,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,64.5,0x0
2024-02-18 21:40:50,600000000,600,320000000,,300,,31250,0x19f0a,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,64.5,0x0
2024-02-18 21:40:57,600064000,600,250000000,,300,,31250,0x1b774,450,600064000,250000000,0,0,300000000,1.2313,1.2500,1.2500,1.2250,65.0,0x0
2024-02-18 21:48:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.4,0x0
2024-02-18 22:03:58,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-18 22:19:24,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,61.2,0x0
2024-02-18 22:34:31,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,61.2,0x0
2024-02-18 22:49:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,60.7,0x0
2024-02-18 23:04:48,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,61.8,0x0
2024-02-18 23:20:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,60.7,0x0
2024-02-18 23:36:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,60.1,0x0
2024-02-18 23:52:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,60.7,0x0
2024-02-19 00:08:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,60.7,0x0
2024-02-19 00:24:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,61.8,0x0
2024-02-19 00:40:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,61.8,0x0
2024-02-19 00:56:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 01:11:38,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 01:26:49,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.8,0x0
2024-02-19 01:42:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 01:58:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 02:14:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 02:30:08,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,61.2,0x0
2024-02-19 02:45:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 03:00:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 03:16:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
