Timestamp,Duration
2024-04-20 12:07:24,0:00:40
2024-04-20 12:08:36,0:01:13
2024-04-20 12:15:50,0:00:29
2024-04-20 12:16:20,0:01:00
2024-04-20 12:19:26,0:00:08
2024-04-20 12:19:40,0:00:25
2024-04-20 12:23:34,0:00:18
2024-04-20 12:27:17,0:00:14
2024-04-20 12:29:49,0:02:53
2024-04-20 12:34:46,0:00:06
2024-04-20 12:35:34,0:00:10
2024-04-20 12:36:32,0:00:30
2024-04-20 12:37:08,0:00:49
2024-04-20 12:41:18,0:00:55
2024-04-20 12:43:19,0:03:33
2024-04-20 12:51:29,0:00:08
2024-04-20 12:51:49,0:00:28
2024-04-20 12:53:20,0:00:16
2024-04-20 12:54:12,0:00:30
2024-04-20 12:56:03,0:00:25
2024-04-20 12:57:54,0:00:12
2024-04-20 12:58:35,0:01:54
2024-04-20 13:01:39,0:00:41
2024-04-20 13:05:00,0:01:11
2024-04-20 13:07:16,0:00:08
2024-04-20 13:08:58,0:02:04
2024-04-20 13:15:27,0:00:08
2024-04-20 13:16:23,0:00:09
2024-04-20 13:19:54,0:00:29
2024-04-20 13:20:37,0:00:11
2024-04-20 13:21:17,0:00:40
2024-04-20 13:22:13,0:00:07
2024-04-20 13:23:40,0:01:46
2024-04-20 13:27:13,0:00:07
2024-04-20 13:28:35,0:00:08
2024-04-20 13:33:09,0:00:48
2024-04-20 13:37:06,0:00:38
2024-04-20 13:38:04,0:00:17
2024-04-20 13:44:35,0:00:07
2024-04-20 13:45:24,0:00:07
2024-04-20 13:45:51,0:00:30
2024-04-20 13:49:29,0:00:07
2024-04-20 13:49:41,0:00:06
2024-04-20 13:50:11,0:00:24
2024-04-20 13:52:55,0:00:08
2024-04-20 13:54:26,0:01:29
2024-04-20 13:56:04,0:00:19
2024-04-20 13:58:47,0:00:22
2024-04-20 14:00:23,0:01:02
2024-04-20 14:01:34,0:00:56
2024-04-20 14:02:43,0:00:15
2024-04-20 14:08:35,0:00:29
2024-04-20 14:09:33,0:00:08
2024-04-20 14:13:01,0:01:46
2024-04-20 14:14:51,0:00:10
2024-04-20 14:15:19,0:00:07
2024-04-20 14:17:11,0:01:10
2024-04-20 14:19:13,0:00:29
2024-04-20 14:23:24,0:00:57
2024-04-20 14:25:24,0:00:20
2024-04-20 14:28:04,0:00:29
2024-04-20 14:33:18,0:00:06
2024-04-20 14:36:40,0:00:06
2024-04-20 14:39:48,0:00:41
2024-04-20 14:42:08,0:04:48
2024-04-20 14:48:36,0:02:16
2024-04-20 14:51:54,0:00:07
2024-04-20 14:52:48,0:00:14
2024-04-20 14:53:13,0:00:07
2024-04-20 14:53:30,0:01:54
2024-04-20 14:55:43,0:00:08
2024-04-20 14:58:50,0:00:33
2024-04-20 14:59:46,0:00:08
2024-04-20 15:00:22,0:00:41
2024-04-20 15:01:19,0:00:21
2024-04-20 15:03:03,0:00:23
2024-04-20 15:05:48,0:00:29
2024-04-20 15:06:48,0:01:53
2024-04-20 15:09:49,0:01:09
2024-04-20 15:11:34,0:01:46
2024-04-20 15:13:24,0:01:09
2024-04-20 15:15:40,0:01:09
2024-04-20 15:17:17,0:00:07
2024-04-20 15:17:30,0:01:01
2024-04-20 15:21:18,0:00:12
2024-04-20 15:22:52,0:00:07
2024-04-20 15:23:08,0:00:30
2024-04-20 15:23:54,0:00:06
2024-04-20 15:27:37,0:01:32
2024-04-20 15:29:46,0:00:45
2024-04-20 15:31:32,0:01:15
2024-04-20 15:33:22,0:00:30
2024-04-20 15:34:31,0:00:16
2024-04-20 15:37:15,0:00:57
2024-04-20 15:42:37,0:00:09
2024-04-20 15:46:06,0:00:41
